,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
105,0,Goal,9.848857802,66.03751103,Asmir Begović,0.867512144
106,1,Blocked,16.1245155,60.2551187,Hugo Lloris,0.777075385
107,0,Off T,12.08304597,65.55604522,Hugo Lloris,0.785135884
108,0,Off T,18.43908891,40.60129465,Jonas Lössl,0.882843001
109,0,Off T,8.544003745,20.55604522,Jonas Lössl,0.785135884
110,0,Saved,16.76305461,72.64597536,Łukasz Fabiański,0.698243857
111,1,Off T,21.40093456,52.59464337,Łukasz Fabiański,0.803920524
112,0,Off T,9.848857802,66.03751103,Asmir Begović,0.546780644
113,1,Off T,24.41311123,34.9920202,Angus Gunn,0.590756539
114,0,Goal,9.219544457,77.47119229,Angus Gunn,0.34299717
115,1,Off T,9.219544457,77.47119229,Hugo Lloris,0.685994341
116,0,Off T,14.4222051,56.30993247,Mathew Ryan,0.686406473
117,0,Blocked,11.40175425,52.12501635,Jordan Pickford,0.707106781
118,0,Wayward,10.29563014,29.0546041,Kepa Arrizabalaga Revuelta,0.835531692
119,0,Goal,7,0,Kepa Arrizabalaga Revuelta,0.769309258
120,1,Saved,12.52996409,28.61045967,Sergio Rico González,0.821680738
121,0,Off T,7.211102551,56.30993247,Sergio Rico González,0.310086836
122,0,Off T,17.49285568,59.03624347,Sergio Rico González,0.697802339
123,0,Saved,17.08800749,69.44395478,Sergio Rico González,0.86997087
124,0,Blocked,13.60147051,53.97262661,Łukasz Fabiański,0.592748978
125,0,Off T,8.602325267,54.46232221,Łukasz Fabiański,0.419136822
126,0,Goal,2.828427125,45,Łukasz Fabiański,0.5
127,1,Off T,13,22.61986495,Łukasz Fabiański,0.729756383
128,0,Saved,3,0,Łukasz Fabiański,1.414213562
129,1,Blocked,10.19803903,78.69006753,Ben Hamer,0.80860754
130,0,Saved,11.18033989,79.69515353,Vicente Guaita Panadero,0.54405882
131,0,Off T,16,0,Ben Hamer,0.628117226
132,0,Goal,12.20655562,55.0079798,Ben Hamer,0.29537827
133,1,Saved,14.7732867,66.03751103,Ben Foster,0.729857429
134,0,Wayward,8.188406438,81.57303098,Bernd Leno,1.363473653
135,0,Off T,5.954829972,49.08561678,Neil Leonard Dula Etheridge,0.489598521
136,0,Saved,9.433981132,32.00538321,Łukasz Fabiański,0.382187671
137,0,Goal,5.099019514,11.30993247,Łukasz Fabiański,1
138,0,Goal,23.34523506,46.73570459,Vicente Guaita Panadero,0.757833706
139,0,Goal,8.062257748,7.125016349,Asmir Begović,0.511408312
140,0,Off T,7.280109889,15.9453959,Alisson Ramsés Becker,0.274721128
141,0,Wayward,13.03840481,57.52880771,David de Gea Quintana,0.894427191
142,0,Post,14.4222051,56.30993247,Kasper Schmeichel,0.693375245
143,0,Saved,14.2126704,50.71059314,Kasper Schmeichel,0.956996125
144,0,Post,13.41640786,26.56505118,Kasper Schmeichel,0.307318149
145,0,Saved,6.207253821,2.770215797,Kasper Schmeichel,0.884741022
146,0,Saved,10.56882207,69.50740523,Alex McCarthy,0.545921642
147,0,Off T,8.485281374,45,Martin Dúbravka,0.920446751
148,0,Goal,16.40121947,52.43140797,Martin Dúbravka,0.609710761
149,0,Saved,9.433981132,57.99461679,Martin Dúbravka,0.711068195
150,0,Goal,13.41640786,63.43494882,Martin Dúbravka,0.567646212
151,0,Saved,17.49285568,30.96375653,Neil Leonard Dula Etheridge,0.539304805
152,1,Saved,17.20465053,54.46232221,Rui Pedro dos Santos Patrício,0.838273644
153,1,Saved,21.02379604,25.34617594,Rui Pedro dos Santos Patrício,0.768438506
154,0,Off T,13,0,Hugo Lloris,0.384615385
155,0,Saved,6.08276253,9.462322208,Jordan Pickford,0.677834389
156,0,Off T,17.80449381,51.84277341,Jordan Pickford,0.81003174
157,0,Off T,19.79898987,45,Jordan Pickford,0.717848259
158,0,Blocked,15.23154621,66.80140949,David de Gea Quintana,0.91444349
159,0,Off T,10.63014581,41.18592517,David de Gea Quintana,0.798228126
160,0,Off T,10.63014581,41.18592517,David de Gea Quintana,0.931266147
