,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
32,0.72,Regular Play,0,Goal,0,17.029386365926403,40.236358309273825,Franco Armani,0.47343207647399926,Pass,Kylian Mbappé Lottin
33,0.92,Regular Play,1,Blocked,0,16.1245154965971,29.74488129694222,Hugo Lloris,0.8320502943378438,Pass,Sergio Leonel Agüero del Castillo
34,0.18,Regular Play,0,Saved,0,11.40175425099138,74.74488129694222,Thibaut Courtois,0.3616202853397895,Pass,José Paulo Bezzera Maciel Júnior
35,1.013,From Counter,0,Off T,0,17.69180601295413,47.29061004263853,Alisson Ramsés Becker,0.723851960929756,Pass,Eden Hazard
36,3.053,From Free Kick,0,Wayward,0,17.88854381999832,63.43494882292202,Hugo Lloris,0.7766112283504533,Pass,Cristhian Ricardo Stuani Curbelo
37,2.038,From Free Kick,0,Off T,0,6.324555320336759,71.56505117707799,Hugo Lloris,0.5,Other,Diego Roberto Godín Leal
38,0.6,Regular Play,0,Saved,0,18.439088914585774,49.398705354995535,Hugo Lloris,0.806225774829855,Pass,Ante Rebić
39,0.68,Regular Play,0,Goal,1,6.708203932499369,26.565051177077994,Hugo Lloris,0.21081851067789195,Other,Mario Mandžukić
40,0.68,Regular Play,0,Goal,0,15.0,53.13010235415598,Hannes Þór Halldórsson,0.6599663291074443,Pass,Ivan Perišić
41,0.16,Regular Play,0,Saved,0,10.0,53.13010235415598,Mohamed El Shenawy,0.282842712474619,Pass,Luis Alberto Suárez Díaz
42,1.013,Regular Play,0,Off T,0,17.72004514666935,73.61045966596522,Wilfredo Daniel Caballero,0.5353729576861873,Pass,Alfreð Finnbogason
43,0.48,Regular Play,0,Saved,1,14.866068747318506,70.3461759419467,Igor Akinfeev,0.7022910149526747,Other,Iago Aspas Juncal
44,0.36,Regular Play,1,Saved,0,15.231546211727817,66.80140948635182,Igor Akinfeev,0.8304547985373997,Pass,Rodrigo Moreno Machado
45,0.16,From Throw In,0,Blocked,0,13.341664064126334,77.0053832080835,Thibaut Courtois,0.691034072884717,Pass,Saîf-Eddine Khaoui
46,1.173,Regular Play,0,Goal,1,9.433981132056603,32.005383208083494,Farouk Ben Mustapha,0.3821876708246056,Pass,Romelu Lukaku Menama
47,3.253,Regular Play,0,Wayward,0,8.06225774829855,29.74488129694222,Thibaut Courtois,0.7942098153317112,Cross,Wahbi Khazri
48,0.573,From Free Kick,0,Post,1,6.082762530298219,9.462322208025617,Farouk Ben Mustapha,0.7352146220938078,Other,Michy Batshuayi Tunga
49,0.813,From Throw In,0,Goal,1,8.602325267042627,35.53767779197438,Farouk Ben Mustapha,1.150792911137501,Cross,Michy Batshuayi Tunga
50,0.4,From Throw In,0,Blocked,0,16.278820596099706,42.510447078000844,Kasper Schmeichel,0.8687444855261388,Pass,Jefferson Agustín Farfán Guadalupe
51,0.813,Regular Play,0,Goal,0,16.97056274847714,45.0,Pedro David Gallese Quiróz,0.2946278254943948,Pass,Yussuf Yurary Poulsen
52,0.653,From Counter,1,Blocked,0,15.620499351813308,50.19442890773481,Mohammed Khalil Al Owais,0.7708840996427202,Pass,Edinson Roberto Cavani Gómez
53,0.28,From Throw In,0,Saved,0,8.48528137423857,45.0,David de Gea Quintana,0.42491829279939874,Pass,Khalid Boutaïb
54,1.133,Regular Play,0,Wayward,0,5.0,36.86989764584402,Munir Mohand Mohamedi,0.565685424949238,Cross,Diego da Silva Costa
55,0.653,Regular Play,0,Wayward,0,15.620499351813308,50.19442890773481,Munir Mohand Mohamedi,0.8612800233887493,Pass,David Josué Jiménez Silva
56,0.813,From Corner,0,Goal,1,5.656854249492381,45.0,Munir Mohand Mohamedi,0.5590169943749475,Cross,Iago Aspas Juncal
57,1.626,Regular Play,1,Goal,0,12.806248474865697,51.34019174590991,Francis Odinaka Uzoho,0.7199254703973386,Pass,Lionel Andrés Messi Cuccittini
58,0.36,From Free Kick,0,Saved,0,11.704699910719626,70.01689347810003,Franco Armani,0.38208035995043504,Pass,Odion Jude Ighalo
59,0.653,Regular Play,0,Saved,1,22.20360331117452,35.83765295427829,Eiji Kawashima,0.3631058272528683,Pass,"M""Baye Babacar Niang"
60,1.813,From Counter,0,Off T,0,13.152946437965905,8.746162262555211,Yasser Abdullah Al Mosailem,0.31347391590650286,Pass,Mohamed Salah
61,0.68,Regular Play,1,Saved,0,18.973665961010276,71.56505117707799,Łukasz Fabiański,0.8333333333333333,Pass,Takashi Usami
62,1.4,From Corner,0,Off T,1,6.324555320336759,71.56505117707799,Łukasz Fabiański,0.7071067811865475,Other,Tomoaki Makino
63,0.533,From Free Kick,0,Goal,1,8.48528137423857,45.0,Eiji Kawashima,0.6871842709362769,Pass,Jan Bednarek
64,0.693,Regular Play,0,Off T,1,11.40175425099138,15.255118703057775,Eiji Kawashima,0.533493565673837,Pass,Robert Lewandowski
65,0.28,Regular Play,0,Saved,0,15.556349186104045,45.0,Munir Mohand Mohamedi,0.36363636363636365,Pass,Sardar Azmoun
66,0.773,From Corner,1,Goal,1,13.601470508735444,17.102728969052375,Alireza Safar Beiranvand,0.7918503817180534,Other,Diego da Silva Costa
67,0.2,From Throw In,0,Saved,1,7.280109889280518,15.945395900922854,Hyun-Woo Cho,0.7397092748646286,Pass,Marcus Berg
68,0.427,From Free Kick,1,Saved,1,12.529964086141668,28.610459665965216,Munir Mohand Mohamedi,0.6865402971551156,Pass,Gonçalo Manuel Ganchinho Guedes
69,0.613,From Corner,1,Off T,0,5.656854249492381,45.0,Francisco Guillermo Ochoa Magaña,0.7499999999999999,Other,Marcus Berg
70,0.12,From Corner,0,Blocked,0,18.24828759089466,80.53767779197439,Robin Olsen,0.8920738735081282,Other,Héctor Miguel Herrera López
